"Room","Object","ObjPos_X","ObjPos_Y","ObjPos_Z","SubjectNo"
"LivingRoom","NikonCamera",-1.410229,3,14.95028,"P40"
"LivingRoom","Teacup",-6.577255,0.3,3.959177,"P40"
"StorageRoom","Mouse",-0.9838487,5,7.426459,"P40"
"StorageRoom","Headphones",-5.423872,4,0.7488389,"P40"
"StorageRoom","Avocado",0.1396877,1.3,16.78294,"P40"
"StorageRoom","Openner",1.729576,0.3,6.194087,"P40"
"StorageRoom","Controller",-6.541621,0.3,10.32889,"P40"
"StorageRoom","PencilSharpener",6.205085,0.3,9.591546,"P40"
"Bedroom","OfficeBin",-6.751849,2,15.52849,"P41"
"Bedroom","EggBeater",1.751887,1,14.36193,"P41"
"Bedroom","CleaningBucket",-2.24954,0.3,10.77341,"P41"
"Bedroom","Teacup",4.329067,0.3,4.485044,"P41"
"Bedroom","Stapler",0.5159661,0.3,1.740891,"P41"
"Bedroom","SaltSub",3.568057,1,1.704338,"P41"
"Classroom","Controller",3.494521,0.3,7.082897,"P41"
"Classroom","Toaster",0.8398191,1,15.31151,"P41"
"Classroom","Padella",-4.537552,0.3,3.55309,"P41"
"Classroom","Spoons",4.509274,3,9.176529,"P41"
"Classroom","Pineapple",7.779862,0.3,8.354053,"P41"
"Classroom","Squeezer",-3.439419,0.3,14.23212,"P41"
"Gym","Muffin",6.153823,0.3,7.655763,"P41"
